City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Auki,SB,2022-03-12 01:07:07,-8.7676,160.7034,83.17,76,60,5.12
223,Touros,BR,2022-03-12 01:05:46,-5.1989,-35.4608,79.9,76,100,8.05
224,Blagoyevo,RU,2022-03-12 01:07:08,63.3667,47.9167,21.49,96,100,4.7
225,Grand-Santi,GF,2022-03-12 01:07:08,4.25,-54.3833,73.06,98,100,3.22
226,Hamilton,US,2022-03-12 01:03:59,39.1834,-84.5333,30.36,92,100,11.5
227,Pak Phanang,TH,2022-03-12 01:07:09,8.3511,100.202,78.91,82,29,4.43
228,Paita,PE,2022-03-12 01:07:09,-5.0892,-81.1144,76.3,77,65,9.22
229,Redmond,US,2022-03-12 01:04:29,47.674,-122.1215,53.65,67,100,1.99
230,Nelspruit,ZA,2022-03-12 01:07:10,-25.4745,30.9703,66.4,89,82,2.42
231,Bodaybo,RU,2022-03-12 01:07:11,57.8506,114.1933,-4.07,99,100,0.43
232,Te Anau,NZ,2022-03-12 01:07:11,-45.4167,167.7167,64.74,49,20,2.91
233,Vila Franca Do Campo,PT,2022-03-12 01:07:12,37.7167,-25.4333,61.2,96,100,14.56
234,Kangaatsiaq,GL,2022-03-12 01:07:12,68.3065,-53.4641,-10.44,99,100,4.29
235,Ust-Kuyga,RU,2022-03-12 01:07:13,70.0167,135.6,-1.57,95,96,3.83
236,Kassala,SD,2022-03-12 01:07:13,15.451,36.4,69.82,73,15,11.97
237,Goderich,CA,2022-03-12 01:07:13,43.7501,-81.7165,26.91,68,100,12.71
238,Glyadyanskoye,RU,2022-03-12 01:07:14,54.9075,65.0883,-4.85,93,100,8.3
239,Benavente,ES,2022-03-12 01:07:14,42.0025,-5.6783,34.52,87,1,5.06
240,Codrington,AU,2022-03-12 01:07:15,-38.2667,141.9667,66.07,44,0,7.9
241,Olinda,BR,2022-03-12 01:07:15,-8.0089,-34.8553,82.13,69,20,5.75
242,Aksu,CN,2022-03-12 01:07:15,41.1231,80.2644,45.95,33,78,2.06
243,Tazovskiy,RU,2022-03-12 01:07:16,67.4667,78.7,-17.61,100,99,8.81
244,Axim,GH,2022-03-12 01:07:16,4.8699,-2.2405,80.02,86,17,6.15
245,Namibe,AO,2022-03-12 01:07:17,-15.1961,12.1522,72.45,81,100,8.61
246,Marzuq,YE,2022-03-12 01:07:17,14.4,46.4667,62.28,21,61,5.84
247,Jawhar,SO,2022-03-12 01:07:17,2.7809,45.5005,73.78,81,100,9.15
248,Vomp,AT,2022-03-12 01:07:18,47.3333,11.6833,37.71,59,100,7.31
249,Luebo,CD,2022-03-12 01:07:18,-5.35,21.4167,72.28,98,100,2.06
250,Clyde River,CA,2022-03-12 01:03:14,70.4692,-68.5914,-26.14,90,47,3.33
251,Ust-Nera,RU,2022-03-12 01:07:19,64.5667,143.2,2.35,97,84,2.53
252,Kaseda,JP,2022-03-12 01:07:19,31.4167,130.3167,64.24,65,0,2.39
253,Simbahan,PH,2022-03-12 01:07:20,6.3032,120.5836,81.45,79,96,4.27
254,Tual,ID,2022-03-12 01:07:20,-5.6667,132.75,83.14,75,93,9.17
